bond_id,Name,Sector,Maturity_Bucket,Par Value,Liquidity_Score,Weight_Renorm,Liquidity_Score_Par,Liquidity_Score_Source,Sampled_Weight
106,AT&T INC,Communications,7-10yr,34613000,0.759253464411355,0.0008430541126291279,0.912205766657431,trace_full_window,0.03000000000000002
70,WELLS FARGO & COMPANY,Banking,7-10yr,29489000,0.7390034629570357,0.0009347342324298576,0.8921139711279585,trace_full_window,0.030000000000000016
189,VERIZON COMMUNICATIONS INC,Communications,10-15yr,31903000,0.6330625444928751,0.0007096645756882859,0.901981379602584,trace_full_window,0.03000000000000001
36,ABBVIE INC,Consumer Non-Cyclical,20yr+,46644000,0.6557730448794106,0.0010813216767266288,0.9496167129354293,trace_full_window,0.03000000000000001
276,GE HEALTHCARE TECHNOLOGIES INC,Consumer Non-Cyclical,5-7yr,19494000,0.5793607738279162,0.0005977342316238785,0.8402064626293682,trace_full_window,0.030000000000000006
34,BANK OF AMERICA CORP,Banking,5-7yr,42946000,0.0,0.001099254711149189,0.939257951158519,trace_full_window,0.030000000000000006
63,ABBOTT LABORATORIES,Consumer Non-Cyclical,7-10yr,33695000,0.6587745237105281,0.0009566971622282742,0.908834827573599,imputed_sector_maturity,0.030000000000000002
636,LOWES COMPANIES INC,Consumer Cyclical,20yr+,17582000,0.5623758508323223,0.00039271330437719174,0.8272605075113062,trace_full_window,0.030000000000000002
97,META PLATFORMS INC,Communications,3-5yr,29899000,0.9471306297189375,0.0008587707045949672,0.8938455636503733,trace_scaled,0.030000000000000002
604,GENERAL MOTORS FINANCIAL COMPANY I,Consumer Cyclical,3-5yr,13467000,0.6628052699879491,0.0004019820637416611,0.7938226683248378,trace_full_window,0.030000000000000002
68,ALPHABET INC,Technology,20yr+,34804000,0.8204901771289214,0.0009353387167362361,0.91289588292909,trace_scaled,0.03
32,SALESFORCE INC,Technology,7-10yr,38633000,0.6896408316084363,0.0011271617366269936,0.9259852335837176,imputed_sector_maturity,0.03
62,NVIDIA CORPORATION,Technology,20yr+,34617000,0.6148968322265206,0.000956898656997067,0.9122202583564386,imputed_sector_maturity,0.029999999999999995
527,SOLVENTUM CORP,Consumer Non-Cyclical,7-10yr,14328000,0.6294043351255889,0.0004303928261414477,0.8015946020163583,trace_full_window,0.029999999999999995
121,HSBC HOLDINGS PLC,Banking,15-20yr,25829000,0.6007953435777883,0.0007998334847230696,0.8754950365478357,trace_full_window,0.029999999999999995
282,CISCO SYSTEMS INC,Technology,10-15yr,19107000,0.6412022471547965,0.0005949133048607792,0.8376917949160374,trace_full_window,0.029999999999999995
0,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,15-20yr,69707000,0.7065706314848834,0.0018495204827492268,1.0,trace_full_window,0.029999999999999995
412,AON NORTH AMERICA INC,Insurance,20yr+,17433000,0.6272474220841282,0.0004914457410856699,0.8261932028550963,trace_full_window,0.029999999999999992
55,JPMORGAN CHASE & CO MTN,Banking,5-7yr,34253000,0.6447939692873143,0.0009921602415358091,0.9108946080100762,imputed_sector_maturity,0.02999999999999999
39,JPMORGAN CHASE & CO,Banking,5-7yr,39686000,0.8080900868734617,0.0010548251146303739,0.9293576489033578,trace_full_window,0.02999999999999999
88,HONEYWELL AEROSPACE INC 144A,Capital Goods,20yr+,30725000,0.555789935861994,0.0008818418556217443,0.8972631223336294,imputed_sector_maturity,0.029999999999999985
2,T-MOBILE USA INC,Communications,3-5yr,54674000,0.8253602054744991,0.0015566478363088737,0.9695369450876746,trace_full_window,0.029237842574410033
467,BERKSHIRE HATHAWAY ENERGY CO,Electric,7-10yr,14601000,0.7334989383131412,0.0004557811670093421,0.803961588418806,trace_full_window,0.02855120200755838
413,BARCLAYS PLC,Banking,3-5yr,16337000,0.5905326884588604,0.0004914457410856699,0.8180501792948958,trace_full_window,0.027598987064707578
11,BOEING CO,Capital Goods,20yr+,46462000,0.7301697728255471,0.001316264577139048,0.9491264287136182,trace_full_window,0.025875331829312797
891,DUKE ENERGY CAROLINAS LLC,Electric,20yr+,12038000,0.561936328587648,0.0003416343804882138,0.7797552110249085,imputed_sector_maturity,0.024892166137181936
347,KINDER MORGAN INC,Energy,15-20yr,19593000,0.7017535307816064,0.0005399052329803413,0.8408417312876632,trace_full_window,0.0248086943863628
658,UNION PACIFIC CORPORATION,Transportation,20yr+,19496000,0.5937165195738717,0.00038767593515737144,0.8402193282400636,trace_full_window,0.02459454368090555
190,BP CAPITAL MARKETS AMERICA INC,Energy,5-7yr,24118000,0.7196839029350673,0.0007087578492287182,0.8668996737230346,trace_full_window,0.023671661348039736
339,ALLY FINANCIAL INC,Banking,5-7yr,16590000,0.7138968227913581,0.0005453455917377473,0.8199773959909026,trace_full_window,0.023478589403768065
580,STARBUCKS CORPORATION,Consumer Cyclical,3-5yr,15242000,1.0,0.0004077246646522563,0.8093496927472473,trace_full_window,0.023154164554321906
210,BAKER HUGHES HOLDINGS LLC,Energy,7-10yr,24165000,0.6566916568557652,0.0006837724978984095,0.8671438240968148,imputed_sector_maturity,0.020794403533540194
49,CITIGROUP INC,Banking,3-5yr,34782000,0.7415265075195593,0.0010093880442675948,0.9128165863471577,trace_full_window,0.020686720303016676
393,KROGER CO,Consumer Non-Cyclical,7-10yr,17424000,0.7405641926983175,0.0005040391641352207,0.82612844295686,trace_full_window,0.008655693176874407
345,ENBRIDGE INC,Energy,5-7yr,17726000,0.7006703123835254,0.0005409127068243054,0.8282834363607158,trace_full_window,0.004000000000000002
